id,latitude,longitude,order_weight,window_start,window_end,delivery_duration
0,48.764246,2.34842,,,,600
1,48.844975,2.341771,130.0,24600,34200,300
2,48.869348,2.353465,20.0,20400,30600,300
3,48.853561,2.351725,10.0,17100,28800,300
4,48.896074,2.504742,40.0,10800,30600,600
5,48.820083,2.338397,60.0,10800,28800,600
6,48.856662,2.35241,80.0,24600,34200,300
7,48.862582,2.378376,40.0,10800,27000,600
8,48.830166,2.353779,110.0,10800,23400,600
9,48.824607,2.33745,130.0,21600,30600,300
10,48.858048,2.37557,1.0,20400,28800,300
11,48.859751,2.359141,50.0,21600,28800,300
12,48.860672,2.36894,80.0,10800,27000,600
13,48.858143,2.42606,100.0,24600,34200,300
14,48.861534,2.447749,200.0,10800,19800,600
15,48.843755,2.352663,20.0,23100,30600,300
16,48.862157,2.380131,80.0,10800,27000,600
