id,latitude,longitude,order_weight,window_start,window_end,delivery_duration
0,48.764246,2.34842,,,,600
1,48.861534,2.447749,20.0,10800,19800,600
2,48.858143,2.42606,100.0,24600,34200,300
3,48.862582,2.378376,40.0,10800,27000,600
4,48.859751,2.359141,50.0,21600,28800,300
5,48.862157,2.380131,80.0,10800,27000,600
6,48.862582,2.378376,40.0,10800,27000,600
7,48.875114,2.343639,180.0,19500,32400,300
8,48.857059,2.340688,40.0,10800,19800,600
9,48.859578,2.349867,120.0,27000,34200,300
10,48.824607,2.33745,100.0,23400,30600,300
11,48.858048,2.37557,1.0,20400,28800,300
12,48.863516,2.363531,3.4,25200,32400,300
13,48.858048,2.37557,20.0,19200,28800,300
14,48.869348,2.353465,20.0,20400,30600,300
15,48.860672,2.36894,80.0,10800,27000,600
16,48.843755,2.352663,20.0,23100,30600,300
17,48.861619,2.366735,10.0,21600,28800,300
18,48.853341,2.370838,30.0,19800,34200,300
19,48.844008,2.350383,60.0,15900,27000,300
20,48.896074,2.504742,40.0,10800,30600,600
21,48.853561,2.351725,30.0,18600,28800,300
22,48.830166,2.353779,110.0,10800,23400,600
23,48.733325,2.442407,9.0,24900,34200,300
24,48.874625,2.360056,40.0,10800,30600,600
25,48.872234,2.330953,130.0,18000,28800,300
26,48.864461,2.347217,60.0,23400,30600,300
27,48.869348,2.353465,40.0,23400,30600,300
28,48.847517,2.387622,30.0,21600,28800,300
29,48.824607,2.33745,130.0,21600,30600,300
30,48.844975,2.341771,130.0,24600,34200,300
31,48.820083,2.338397,60.0,10800,28800,600
32,48.861673,2.353084,120.0,25200,32400,300
33,48.872693,2.365364,100.0,19800,28800,300
34,48.852708,2.349901,90.0,19800,34200,300
35,48.861534,2.447749,200.0,10800,19800,600
36,48.849785,2.343277,20.0,10800,30600,600
37,48.853561,2.351725,10.0,17100,28800,300
38,48.856662,2.35241,80.0,24600,34200,300
39,48.864515,2.349468,400.0,21600,28800,300
40,48.860782,2.340251,20.0,14400,21600,300
